,researcher,skill_categories
97,"Li, Chen ","['B.5', 'D.2', 'J.2', 'I.2', 'D.4', 'D.4', 'H.5', 'K.6', 'I.3', 'K.8', 'D.2', 'J.2', 'E.3', 'H.5', 'C.2', 'C.2', 'E.1', 'H.2', 'I.2', 'E.3', 'H.5', 'J.3', 'F.4', 'I.2', 'D.2', 'H.5', 'I.2', 'C.5', 'B.7', 'B.4', 'I.2']"
98,"Liu, Chang","['G.1', 'E.1', 'D.3', 'A.0', 'G.3', 'J.6', 'B.1', 'D.2', 'B.2', 'B.4', 'B.3', 'E.1', 'D.2', 'A.0', 'I.3', 'H.5', 'H.5', 'I.5', 'I.1', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'F.3', 'K.5', 'B.4', 'I.5', 'C.5', 'A.0', 'E.1', 'H.3', 'H.5', 'A.0', 'A.0', 'G.2', 'I.3', 'K.8', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'D.2', 'D.2', 'B.4', 'D.2', 'E.1', 'G.2', 'I.4', 'D.2', 'D.2', 'D.2', 'E.3', 'D.2', 'D.4', 'A.0', 'D.2', 'C.2', 'F.4', 'F.1', 'E.2', 'D.2', 'C.2', 'E.1', 'J.2', 'A.0', 'H.5', 'E.1', 'A.0', 'K.6', 'D.3', 'F.4', 'F.1', 'E.3', 'I.4', 'F.4', 'B.6', 'B.4', 'H.5', 'E.1', 'G.2', 'C.2', 'K.5', 'D.2', 'D.2', 'D.4', 'I.1', 'D.2', 'D.4', 'D.2', 'D.2', 'A.0', 'H.2', 'B.1', 'D.2', 'B.2', 'B.4', 'B.3', 'K.6', 'D.2', 'J.6', 'D.4', 'D.2', 'A.0', 'I.2', 'J.1', 'K.4', 'K.4', 'C.1', 'H.5', 'I.4', 'I.2', 'I.4', 'C.1', 'B.4', 'H.5', 'C.2', 'J.5', 'C.2', 'B.6', 'I.2', 'D.4', 'D.4', 'C.5', 'H.3', 'H.5', 'K.6', 'K.6', 'F.3', 'K.5', 'K.6', 'F.4', 'E.3', 'D.2', 'H.5', 'G.1', 'E.2', 'K.6', 'H.5', 'C.5', 'B.6', 'J.7', 'F.3', 'H.5', 'F.3', 'A.0', 'E.3', 'D.2', 'J.2', 'H.2', 'J.7', 'J.2', 'J.3', 'I.2', 'J.1', 'I.2', 'A.0', 'F.1', 'B.2', 'B.4', 'B.3', 'I.1', 'F.3', 'H.5', 'D.3', 'B.4', 'K.3', 'K.3', 'I.2', 'F.3', 'I.4', 'D.2', 'H.5', 'G.1', 'G.1', 'C.2', 'K.7', 'A.0', 'B.1', 'D.2', 'B.2', 'B.4', 'B.3', 'A.0', 'D.4', 'I.1', 'B.1', 'D.2', 'B.2', 'B.4', 'B.3', 'C.2', 'E.1', 'H.5', 'B.4', 'C.5', 'H.5', 'A.0', 'D.2', 'D.2', 'K.6', 'A.0', 'F.1', 'H.3', 'H.5', 'F.4', 'I.4', 'C.5', 'C.5', 'F.3', 'J.1', 'C.2', 'I.4', 'C.0', 'G.1', 'I.3', 'F.3', 'I.2', 'H.5', 'I.4', 'D.2', 'F.1', 'C.5', 'B.7', 'F.4', 'G.3', 'K.6', 'I.2', 'I.2', 'B.6', 'K.4', 'K.4', 'J.2', 'H.5', 'D.2', 'H.1', 'I.2', 'G.1', 'E.3', 'I.2', 'H.5', 'D.2']"
99,"Loiselle, Val","['K.6', 'E.1', 'G.1', 'D.2', 'D.4', 'K.7', 'K.7', 'I.6', 'K.4', 'K.4', 'K.4', 'K.4', 'K.4', 'H.3', 'I.5', 'I.2', 'G.1', 'I.3']"
100,"Luo, Lannan ","['E.3', 'C.1', 'D.2', 'D.3', 'D', 'D', 'C.4']"
101,"Lyons, Jed ","['H.3', 'I.2', 'J.2', 'F.3', 'J.2', 'I.2', 'J.1', 'C.5', 'C.2', 'C.2', 'B.4', 'E.1', 'I.2', 'B.5', 'J.2', 'H.3', 'H.5', 'C.5', 'B.7', 'J.3', 'I.1', 'I.5', 'K.6', 'C.2', 'G.3', 'C.5', 'K.3', 'K.3', 'B.3', 'K.3', 'K.7', 'J.1', 'C.5', 'B.7', 'D.2', 'K.6', 'K.6', 'J.2', 'G.1', 'F.2', 'I.5', 'B.5', 'C.5', 'C.2', 'C.5', 'F.2', 'C.5', 'G.1', 'G.1', 'H.3', 'C.2', 'K.3', 'K.3', 'D.4', 'H.2', 'C.2', 'C.2', 'I.1', 'I.5', 'B.2', 'B.4', 'B.3', 'H.2', 'K.3', 'K.3', 'K.6', 'F.1', 'K.6', 'D.3', 'B.4', 'H.5', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'I.6', 'D.4', 'D.3', 'B.4', 'D.4', 'C.2', 'C.2', 'G.1', 'K.4', 'I.6', 'C.0', 'H.5', 'I.4', 'K.7', 'C.2', 'I.2', 'I.2', 'D.2', 'J.1', 'G.3', 'F.3', 'J.2', 'H.5', 'J.3', 'J.5', 'I.2', 'J.1', 'B.2', 'B.4', 'B.3', 'I.2', 'J.1', 'C.2', 'C.2', 'J.2', 'D.4', 'K.7', 'E.3', 'C.5', 'I.2', 'F.3', 'C.2', 'E.3', 'C.1', 'K', 'D.2', 'H.3', 'J.2', 'H.5', 'D.3', 'I.5', 'D.2', 'I.4', 'B.2', 'B.4', 'B.3', 'I.2', 'J.1', 'G.1', 'J.2', 'I.2', 'J.1', 'H.5', 'D.2', 'G.1', 'J.2', 'G.1', 'D.2', 'B.2', 'B.4', 'B.3', 'D.4', 'G.1', 'I.4', 'B.2', 'B.4', 'B.3', 'J.2', 'J.1', 'J.1', 'J.2', 'C.2', 'I.2', 'J.1', 'D.4', 'D.2', 'J.2', 'K.6', 'I.4', 'J.4', 'K.6', 'H.5', 'B.7', 'B.5', 'H.5', 'J.1', 'H.5', 'K.6', 'J.5', 'J.1', 'G.1', 'G.1', 'I.4', 'G.1', 'I.2', 'J.1', 'H.5', 'B.2', 'B.4', 'B.3', 'I.2', 'J.1', 'J.1', 'F.3', 'C.2', 'C.2', 'B.2', 'B.4', 'B.3', 'B.7', 'K.3', 'B.2', 'B.4', 'B.3', 'I.2', 'I.5', 'K.7', 'J.2', 'J.2', 'K.3', 'K.3']"
102,"Mandal, Krishna","['H.2', 'D.4', 'B.6', 'B.6']"
103,"Matolak, David","['H.2', 'D.4', 'B.6', 'B.6']"
104,"Matta, Fabio","['G.1', 'G.1', 'G.1', 'I.5', 'F.2', 'K.6', 'J.2', 'E.3', 'H.5', 'I.4', 'C.2', 'C.2', 'K.4', 'K.4', 'H.2', 'B.7', 'I.4', 'B.3', 'B.7', 'B.2', 'B.4', 'B.3', 'C.1', 'D.2', 'D.4', 'H.2', 'D.4', 'G.1', 'F.3', 'E.3', 'K.4', 'K.4', 'D.2', 'D.4', 'K.5', 'J.7', 'H.2', 'C.0', 'I.4', 'H.2', 'D.4', 'C.2', 'G.3', 'E.1', 'G.1', 'H.5', 'E.3', 'I.4', 'H.5', 'G.1', 'K.5', 'I.3', 'C.0', 'H.5', 'H.4', 'E.2', 'D.4', 'H.2', 'D.2', 'D.3', 'K.6', 'I.5', 'K.6', 'I.5', 'D.3', 'G.1', 'J.5', 'I.3', 'I.3', 'C.1', 'G.1']"
105,"Matthews, Catherine","['C.0', 'C.0', 'I.3']"
106,"Matthews, Manton M","['D.4', 'I.2', 'H.5', 'G.2', 'I.2']"
107,"Matthews, Michael A.","['K.6', 'K.6', 'J.4', 'I.2', 'H.4', 'K.8', 'H.5', 'K.6', 'I.5', 'D.2', 'J.1', 'A.0', 'I.5', 'G.1', 'B.3', 'I.2', 'E.5', 'J.2', 'D.2', 'G.1', 'G.2', 'I.3', 'K.8', 'D.4', 'C.2', 'C.2', 'I.2', 'F.4', 'D.3', 'J.7', 'B.3', 'C.0', 'I.2', 'J.4', 'J.2', 'J.2', 'H.5', 'D.4', 'D.2', 'C.2', 'C.2', 'I.4', 'I.6', 'K.6', 'G.1', 'D.2', 'H.2', 'C.0', 'K.6', 'G.2', 'G.1', 'I.4', 'I.3', 'K.8', 'B.6', 'H.5', 'I.2', 'H.5', 'G.2', 'H.5', 'C.2', 'C.2', 'C.0', 'I.3', 'A.0', 'D.2', 'G.1', 'H.5', 'F.4', 'I.2', 'B.2', 'B.4', 'B.3', 'H.5', 'I.3', 'G.3', 'F.1', 'I.5', 'K.8', 'H.5', 'I.4', 'D.3', 'K.3', 'K.3', 'D.2', 'D.4', 'I.2', 'J.1', 'H.5', 'J.2', 'I.6', 'I.4', 'K.6', 'C.5', 'E.3', 'J.2', 'H.5', 'D.3', 'D.3', 'K.6', 'C.2', 'C.2', 'C.5', 'H.3', 'I.4', 'I.3', 'I.2', 'G.1', 'D.3', 'J.2', 'H.2', 'K.8', 'H.5', 'D.2', 'H.5', 'C.2', 'D.4', 'H.1', 'D.2', 'C.2', 'H.5', 'A.0', 'I.2', 'C.5', 'H.5', 'I.2', 'C.2', 'A.0', 'K.6', 'D.2', 'K.3', 'K.3', 'D.4', 'D.4', 'I.3', 'K.8', 'F.2', 'J.7', 'I.2', 'B.2', 'B.4', 'B.3', 'A.0', 'H.2', 'D.2', 'H.5', 'I.4', 'J.7', 'J.3', 'H.5', 'G.1', 'K.7', 'H.5', 'D.3', 'H.5', 'J.2', 'J.7', 'K.6', 'G.1', 'J.2', 'K.7', 'I.3', 'K.8', 'I.5']"
108,"McAnally, A. Steve","['E.3', 'A.2', 'D.2', 'I.2', 'D.4', 'J.5', 'D.3', 'G.1', 'D.2', 'D.2', 'F.3', 'B.4', 'H.3', 'G.1', 'G.1', 'J.7', 'I.3', 'I.3', 'K.8', 'C.5', 'B.2', 'B.4', 'B.3', 'J.3', 'J.1', 'E.1', 'G.2', 'H.3', 'H.5', 'G.1', 'G.1', 'F.4', 'H.4', 'K.6', 'E.1', 'G.2', 'D.2', 'I.6', 'I.2', 'H.5', 'F.3', 'J.5', 'E.3', 'I.3', 'K.8', 'G.1', 'I.3', 'C.0', 'G.1', 'F.3', 'I.3', 'J.7', 'D.4', 'J.7', 'E.1', 'G.2']"
109,"McCants, Dale ","['J.3', 'H.4', 'F.4', 'J.2', 'H.3', 'G.3', 'E.3', 'E.3', 'I.2', 'J.2', 'D.2', 'I.2', 'H.5', 'G.3']"
110,"McNeill, Stephen ","['D.2', 'E.3', 'F.3', 'B.4', 'G.3', 'H.3', 'I.5', 'H.4', 'G.3', 'H.3', 'E.3', 'C.5', 'B.7']"
111,"Meekins, Benjamin H.","['G.2', 'I.3', 'I.4', 'I.2', 'D.2', 'J.2', 'I.3', 'I.3']"
112,"Mobli, Mostafa","['I.2', 'G.1', 'H.3', 'I.4', 'G.1', 'I.2', 'I.5', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'D.2', 'A.2', 'F.3', 'I.4', 'D.4', 'G.1', 'I.6', 'I.3', 'K.8', 'I.2', 'C.2', 'H.5', 'D.2', 'D.3', 'H.2', 'I.3', 'F.4', 'F.4', 'I.2', 'H.5', 'G.1', 'K.3', 'K.3', 'I.5', 'F.4', 'H.3', 'H.5', 'I.5', 'C.1', 'I.1', 'H.5', 'J.2', 'B.4', 'J.3', 'I.2', 'J.7', 'C.2', 'I.2', 'I.2', 'H.1', 'H.3', 'I.1', 'G.1', 'I.4', 'I.2', 'G.1', 'C.5', 'B.7']"
113,"Monnier, John R.","['C.2', 'H.5', 'G.1', 'K.1', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'C.1', 'I.2', 'G.1', 'H.2', 'H.3', 'I.2', 'J.1', 'J.2', 'D.2', 'K.6', 'K.4', 'K.3', 'B.4', 'G.1', 'G.1', 'G.1', 'I.4', 'D.4', 'K.6', 'D.2', 'H.5', 'C.1', 'G.1', 'H.3', 'H.2', 'J.7', 'B.2', 'B.4', 'B.3', 'K.3', 'K.3', 'I.4', 'D.2', 'J.6', 'E.2', 'I.4', 'D.3', 'B.2', 'B.3', 'B.6', 'H.2', 'I.7', 'I.2', 'D.3', 'B.4', 'J.2', 'D.2', 'H.3', 'D.4', 'H.3', 'D.3', 'C.1', 'I.3', 'G.1', 'I.4', 'I.4', 'E.2', 'C.1', 'H.3', 'H.5', 'C.2', 'C.2', 'I.4', 'I.4', 'D.2', 'I.2', 'C.2', 'H.3', 'J.6', 'G.2', 'I.4', 'H.5', 'F.1', 'B.6', 'D.4', 'K.6', 'I.2', 'G.1', 'D.4', 'B.3', 'F.3', 'I.2', 'J.7', 'I.2', 'D.3', 'G.1', 'E.2', 'C.1', 'I.2', 'J.6', 'I.7', 'C.2', 'J.6', 'I.2', 'H.3', 'H.5', 'B.5', 'C.2', 'C.2', 'F.1', 'J.6', 'B.5', 'A.0', 'C.1', 'F.4', 'D.3', 'C.2', 'C.2', 'C.2', 'J.2', 'F.2', 'A.0', 'G.1', 'J.7', 'D.3', 'G.1', 'J.6', 'I.7', 'G.1', 'J.7', 'G.1', 'J.2', 'D.2', 'B.7', 'I.7', 'D.2', 'I.3', 'I.2', 'H.4', 'I.4', 'H.5', 'I.5', 'I.4', 'I.2', 'I.3', 'I.4', 'J.6', 'C.2', 'C.2', 'I.2', 'J.1', 'I.4', 'F.3', 'H.3', 'K.6', 'H.3', 'K.1', 'C.5', 'J.6', 'B.4', 'D.4', 'H.5', 'H.3', 'D.4', 'B.3', 'G.1', 'J.7', 'H.3', 'K.6', 'C.1', 'K.6', 'J.6', 'K.1', 'K.1', 'I.2', 'H.1', 'K.3', 'K.3', 'H.3', 'H.5', 'A.1', 'D.4', 'I.4', 'I.5', 'C.2', 'C.2', 'I.2', 'K.4', 'J.6', 'H.5', 'G.1', 'J.6', 'H.3', 'K.4', 'K.8', 'H.5', 'K.3', 'K.3', 'I.3', 'G.2', 'B.6', 'I.7', 'E.3', 'H.2', 'I.1', 'D.2', 'I.4', 'D.3', 'G.1', 'D.2', 'H.5', 'D.2', 'F.1', 'B.6', 'A.0', 'J.2', 'K.5', 'J.6', 'I.2', 'I.1', 'J.6', 'D.4', 'F.3', 'D.3', 'D.2', 'C.5', 'C.1', 'K.4', 'B.7', 'G.3', 'I.4', 'D.2', 'G.1', 'I.5', 'H.3', 'D.2', 'D.3', 'A.0', 'I.1', 'I.4', 'D.4', 'I.2', 'H.5', 'I.2', 'A.1', 'J.6', 'I.2', 'F.3', 'J.6', 'B.1', 'C.5', 'D.2', 'K.4', 'K.1', 'G.1', 'G.1', 'D.2', 'G.1', 'I.7', 'C.2', 'G.1', 'I.4', 'I.4', 'D.3', 'J.7', 'G.2', 'G.1', 'J.2', 'G.1', 'A.0', 'I.5', 'I.1', 'H.3', 'J.7', 'H.5', 'D.3', 'D.4', 'D.4', 'K.3', 'J.7']"
114,"Morehouse, Jeff ","['I.4', 'D.2', 'I.4', 'I.4', 'J.2', 'K.6', 'G.1', 'K.6', 'F.3', 'I.4', 'D.4', 'K.6', 'D.4', 'B.4', 'G.1', 'H.3', 'G.2', 'J.7', 'B.6', 'H.4', 'B.1', 'B.5', 'B.7', 'B.6', 'I.4', 'I.1', 'C.2', 'I.1', 'I.4', 'F.3', 'G.1', 'J.2', 'K.6', 'E.3', 'B.4', 'J.3', 'K.6', 'B.3', 'K.4', 'F.3', 'J.3', 'E.3', 'H.3', 'I.2', 'I.3', 'K.8', 'I.4', 'J.3', 'I.3', 'C.4', 'D.2']"
115,"Moss, Melissa Ann","['G.3', 'I.2', 'G.1', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'B.1', 'B.5', 'B.7', 'B.6', 'I.4', 'C.5', 'D.2', 'C.2', 'F.3', 'I.4', 'G.1', 'I.2', 'K.3', 'K.3', 'C.2', 'B.3', 'B.4', 'C.2', 'C.2', 'D.3', 'I.1', 'I.5', 'H.2', 'H.1', 'C.2', 'C.2', 'D.3', 'K.4', 'K.4', 'C.2', 'C.2', 'C.2', 'C.2', 'C.2', 'D.3', 'J.2', 'G.3', 'D.3', 'K.4', 'H.5', 'I.2', 'H.3', 'H.3', 'C.2', 'C.2', 'H.1', 'G.1', 'B.3', 'H.3', 'K.3', 'K.3', 'E.2', 'B.6', 'H.4', 'K.6', 'C.2', 'C.2', 'I.5', 'C.1', 'G.1', 'C.2', 'C.2', 'E.1', 'C.2', 'C.2', 'D.4', 'D.3', 'K.6', 'C.5', 'I.4', 'D.2', 'I.5', 'C.1', 'I.5', 'C.1', 'C.2', 'C.2', 'G.1', 'A.0', 'J.1', 'H.5', 'C.5', 'B.7', 'A.0', 'H.3', 'B.4', 'D.2', 'H.5', 'I.4', 'G.3', 'H.3', 'H.3', 'H.5', 'G.3', 'C.2', 'C.2', 'C.2', 'C.2', 'F.3', 'H.2', 'K.1', 'B.2', 'B.4', 'B.3', 'K.5', 'K.6', 'C.2', 'C.2', 'G.1', 'A.0', 'D.4', 'H.5', 'H.5', 'I.2', 'H.5', 'D.2', 'D.2', 'H.5', 'C.2', 'C.2', 'H.5', 'D.2', 'H.5', 'D.2', 'H.5', 'I.3', 'K.1', 'A.0', 'B.6', 'H.5']"
116,"Mullen, Robert L","['G.1', 'G.1', 'B.5', 'D.2', 'E.1', 'G.2', 'H.2', 'D.4', 'H.2']"
117,"Mustain, William E","['D.4', 'J.2', 'D.3', 'J.2']"
118,"Nelakuditi, Srihari","['C.1', 'I.5', 'C.2']"
119,"Nezhad, Cyrus Riahi","['D.3', 'D.2', 'H.5', 'G.3', 'G.2', 'J.5', 'G.1', 'G.2', 'C.2', 'G.1', 'I.3', 'K.8', 'I.3', 'H.2', 'I.2', 'J.3', 'C.1', 'C.1', 'C.1', 'H.5', 'C.1', 'J.2', 'A.0', 'G.1', 'I.5', 'I.1', 'J.6', 'E.1', 'E.3', 'G.1', 'J.2', 'G.1', 'C.1', 'C.0', 'G.2', 'C.2', 'C.2', 'E.3', 'J.2', 'I.3', 'K.8', 'I.4', 'I.2', 'D.3', 'G.1', 'K.4', 'K.4', 'E.5', 'G.1', 'D.2', 'D.4', 'C.2', 'I.4', 'J.2', 'E.2', 'I.3', 'F.1', 'B.6', 'K.8', 'K.8', 'I.2', 'I.4', 'I.2', 'H.3', 'H.5', 'J.2', 'G.1', 'C.5', 'G.3', 'K.8', 'K.8', 'I.2', 'I.3', 'K.8', 'C.5', 'D.3', 'K.8', 'K.8', 'I.2', 'K.7', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'D.2', 'G.2', 'E.3', 'K.8', 'K.8', 'I.2', 'J.6', 'E.3', 'I.3', 'K.8', 'F.3', 'H.5', 'I.3', 'K.8', 'I.4', 'D.2', 'D.3', 'D.2', 'D.4', 'B.4', 'C.2', 'C.2', 'J.6', 'I.4', 'I.5', 'C.1', 'E.1', 'C.2', 'D.4', 'H.5', 'C.0', 'D.2']"
120,"O'Kane, Jason",['I.2']
121,"O'Reilly, James","['D.2', 'I.2', 'B.2', 'B.4', 'B.3', 'D.2', 'H.1', 'E.1']"
122,"Ortiz-Hernandez, Ivelisse","['J.2', 'I.4', 'D.2', 'F.4', 'F.1', 'J.2', 'J.2', 'K.7', 'J.2', 'C.2', 'G.1', 'K.7', 'I.6', 'J.7', 'G.1', 'J.6', 'G.3', 'J.7', 'J.5', 'G.1', 'K.3', 'I.5', 'C.1', 'J.6', 'C.1', 'C.0', 'F.4', 'G.1', 'C.4', 'J.2', 'H.3', 'H.5', 'I.1', 'I.5', 'J.3', 'G.1', 'B.2', 'B.4', 'B.3', 'B.4', 'I.3', 'K.8', 'F.3', 'J.2', 'B.2', 'B.4', 'B.3', 'F.3', 'I.4', 'F.3', 'I.4', 'C.4', 'J.7', 'F.3', 'I.4', 'I.1', 'I.5', 'C.1', 'F.3']"
123,"Pain, Christopher C.","['I.5', 'I.2', 'G.1', 'J.2', 'G.1', 'I.2', 'G.2', 'G.1', 'J.7', 'K.6', 'G.1', 'B.1', 'B.6', 'B.2', 'B.3', 'B.4', 'B.7', 'B.5', 'D.4', 'D.4', 'H.3', 'I.4', 'H.5', 'I.5', 'C.1', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'D.4', 'K.3', 'K.3', 'G.1', 'I.2', 'J.2', 'J.1', 'J.2', 'G.1', 'G.1', 'D.2', 'D.3', 'G.1', 'H.5', 'I.5', 'I.4', 'K.3', 'K.3', 'G.1', 'I.6', 'F.1', 'G.1', 'C.5', 'I.3', 'H.4', 'I.5', 'I.5', 'I.3', 'I.7', 'B.6', 'G.3', 'G.1', 'I.5', 'D.2', 'C.1', 'D.4', 'K.6', 'I.6', 'I.5', 'F.1', 'B.7', 'D.2', 'D.3', 'J.2', 'H.3', 'D.2', 'C.2', 'G.1', 'G.1', 'B.2', 'B.4', 'B.3', 'I.4', 'K.7', 'K.3', 'K.3', 'C.2', 'C.2', 'I.6', 'I.3', 'H.2', 'J.3', 'D.2', 'I.3', 'K.4', 'F.3', 'H.5', 'G.2', 'F.1', 'K.6', 'J.7', 'C.2', 'C.2', 'I.2', 'G.1', 'D.4', 'C.2', 'D.2', 'I.1', 'I.5', 'D.2', 'G.1', 'E.3', 'H.5', 'H.5', 'I.5', 'C.1', 'G.1', 'K.4', 'K.5', 'J.2', 'D.4', 'G.1', 'A', 'H.5', 'G.1', 'D.4', 'K.6', 'H.2', 'D.4', 'I.4', 'D.2', 'I.2', 'E.3', 'D.4', 'K.6', 'H.5', 'C.2', 'C.2', 'I.5', 'C.4', 'E.1', 'D.2', 'E.1', 'A.0', 'D.3', 'H.5', 'I.3', 'I.4', 'I.5', 'C.1', 'B.5', 'G.3', 'H.3', 'H.2', 'I.5', 'F.4', 'G.3', 'G.2', 'I.4', 'I.4', 'I.2', 'H.3', 'H.5', 'C.5', 'J.2', 'D.2', 'I.5', 'G.2', 'I.4', 'A', 'I.4', 'C.1', 'I.2', 'I.2', 'F.3', 'F.4', 'F.2', 'I.3', 'I.7', 'I.7', 'J.2', 'J.2', 'J.2', 'E.3', 'G.1', 'G.2', 'K.7', 'G.1', 'G.1', 'I.3', 'K.8', 'G.3', 'G.1', 'K.6', 'J.2', 'G.3']"
124,"Patel, Chandrashekhar","['H.2', 'I.4', 'D.2', 'I.4', 'K.4', 'K.5', 'H.2', 'D.2', 'C.2', 'J.5', 'K.5', 'I.4', 'G.1', 'H.1', 'I.2', 'H.2', 'H.5', 'D.4', 'D.3', 'G.1', 'H.2']"
125,"Paul, Titan C.","['J.3', 'J.3', 'I.2', 'J.3', 'H.3', 'I.3', 'I.2', 'E.1', 'K.5', 'E.3', 'H.3', 'I.2', 'I.4', 'D.2', 'K.6', 'H.5', 'I.3', 'B.3', 'G.1', 'B.4', 'B.6', 'B.7', 'B.5', 'G.3', 'J.2', 'J.3', 'H.4', 'I.2', 'G.1', 'G.1', 'F.4', 'D.3', 'E.3']"
126,"Peters, Wally ","['C.4', 'E.3', 'D.2', 'F.3', 'E.3', 'D.2']"
127,"Plante, Portia","['I.2', 'B.2', 'B.4', 'B.3', 'I.2', 'D.2', 'H.1', 'D.2']"
128,"Popov, Branko N.","['J.2', 'I.2', 'J.2', 'E.3', 'D.4', 'H.2', 'D.2', 'J.7', 'D.2', 'H.2', 'H.5', 'G.1', 'C.2', 'C.1', 'I.2']"
129,"Potts, Jay","['B', 'I.2', 'C.5', 'D.3', 'B.4', 'I.4', 'H.3', 'H.4', 'C.2', 'H.5', 'C.2', 'C.2', 'F.3', 'H.5', 'D.2', 'K.3', 'K.3', 'D.3', 'D.2', 'D.4', 'D.2', 'F.3', 'I.4', 'I.2', 'I.2', 'K.4', 'C.2', 'G.2', 'J.3', 'H.4', 'I.2', 'B.4', 'B.6', 'B.7', 'B.5', 'B.6', 'I.3', 'J.4', 'H.2', 'J.6', 'I.2', 'H.2', 'J.6', 'B.5', 'J.1', 'D.2', 'G.1', 'K.5', 'B.4', 'C.2', 'C.2', 'C.2', 'H.5', 'C.4', 'H.2', 'I.3', 'E.3', 'H.2', 'C.2', 'C.2', 'B.1', 'J.2', 'H.2', 'C.2', 'C.2', 'E.3', 'I.2', 'J.1', 'C.1', 'H.1', 'E', 'C.2', 'C.2', 'H.5', 'B.7', 'E.3', 'D.4', 'D.3', 'J.1', 'D.2', 'G.1', 'D.2', 'D.2', 'F.3', 'I.4', 'I.2', 'C.5', 'J.6', 'J.1', 'B.6', 'G.1', 'H.1', 'D.2', 'D.2', 'H.4', 'G.1', 'I.2']"
130,"Qian, Yu","['I.5', 'D.2', 'I.2', 'J.5', 'H.5', 'I.6', 'D.2', 'H.5', 'H.5', 'I.2', 'C.2', 'C.5', 'I.6', 'E.1', 'K.6', 'B.3', 'I.6', 'I.2', 'E.3', 'C.5', 'I.2', 'I.5', 'F.4', 'D.3', 'I.4', 'B.5', 'H.3', 'G.1', 'I.2', 'H.5', 'B.2', 'H.5', 'B.3', 'J.2', 'J.2', 'E.3', 'K.6', 'J.3', 'E.1', 'G.2', 'I.3']"
131,"Ranson, Bill ","['C.4', 'F.3', 'I.2', 'I.2', 'I.6', 'B.2', 'B.4', 'B.3', 'E.3', 'F.3', 'I.4', 'I.4', 'I.3', 'K.8', 'H.2', 'E.3', 'I.2', 'D.2', 'K.6', 'F.4', 'F.4', 'C.4', 'I.5', 'I.3', 'K.8', 'K.6', 'K.6']"
132,"Regalbuto, John R.","['J.2', 'H.2', 'D.4', 'H.2', 'C.2', 'J.2']"
