,researcher,skill_categories
23,"Chao, Yuh J. ","['H.5', 'H.3', 'I.3', 'J.2', 'I.2', 'A.0', 'I.5', 'D.2', 'G.1', 'H.5', 'I.4', 'K.6', 'F.2', 'D.2', 'A.0', 'G.1', 'G.1', 'I.3', 'F.2', 'I.4', 'D.3', 'E.3', 'G.1', 'I.3', 'H.5', 'K.6', 'D.3', 'D.4', 'H.5', 'D.2', 'B.6', 'G.1', 'J.2', 'D.2', 'H.3', 'H.5', 'F.3', 'K.6', 'I.7', 'G.1', 'C.2', 'G.3', 'I.4', 'I.2', 'D.2', 'D.2', 'K.4', 'D.4', 'D.4', 'I.5', 'G.1', 'F.3', 'D.4', 'H.5', 'G.1', 'C.2', 'G.1', 'D.2', 'E.3', 'I.5', 'B.2', 'B.4', 'B.3', 'D.3', 'F.3', 'J.2', 'H.5', 'I.6', 'I.3', 'I.4', 'I.5', 'A.0', 'C.2', 'I.2', 'C.2', 'H.2', 'G.3', 'C.2', 'C.2']"
24,"Chaudhry, Hanif","['G.1', 'G.1', 'G.2', 'F.1', 'G.2']"
25,"Chen, Fanglin (Frank)","['I.3', 'I.3', 'E.2', 'G.1', 'D.3', 'C.2', 'I.4', 'D.2', 'I.3', 'G.1', 'K.8', 'K.8', 'I.2', 'E.3', 'C.2', 'D.2', 'K.8', 'K.8', 'I.2', 'C.5', 'J.2', 'J.2', 'G.1', 'J.6', 'I.2', 'E.3', 'G.1', 'D.2', 'K.4', 'G.1', 'I.2', 'G.1']"
26,"Chen, Yinchao","['H.2', 'D.4', 'B.6', 'B.6']"
27,"Chen, Yuche","['H.2', 'C.2', 'C.2', 'K.4', 'K.4', 'H.2', 'I.2']"
28,"Cheng, Xu","['J.2', 'H.5', 'I.2', 'D.2', 'J.2', 'H.3', 'I.2', 'H.3', 'H.5', 'C.5', 'K.6', 'K.6', 'B.2', 'B.4', 'B.3', 'I.4', 'D.4', 'F.4', 'D.3', 'K.7', 'G.1', 'H.5', 'G.1', 'I.2', 'I.4', 'I.2', 'K.7', 'C.2', 'B.3', 'H.5', 'E.5', 'D.2', 'D.4', 'D.4', 'C.5', 'D.2', 'G.2', 'B.2', 'B.4', 'B.3', 'G.1', 'K.7', 'G.3', 'K.6', 'I.2', 'G.3', 'C.0', 'I.2', 'D.2', 'J.7', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'K.6', 'F.3', 'F.3']"
29,"Cole, Casey","['F.4', 'A.0']"
30,"Coman, Paul","['E.1', 'H.3']"
31,"Crichigno, Jorge","['D.2', 'D.2', 'H.2']"
32,"Cui, Taixing","['H.2', 'H.2', 'H.5', 'I.4', 'H.2', 'G.1', 'D.2', 'C.2', 'K.4', 'H.5', 'J.7', 'J.1', 'H.5', 'I.2', 'K.4', 'D.4', 'D.3', 'E.3', 'D.2']"
33,"De Backer, Wout","['I.2', 'I.2', 'I.4', 'B.4', 'B.7']"
34,"Deng, Xiaomin ","['J.1', 'D.3', 'J.1', 'H.5', 'G.1', 'I.3', 'F.3', 'I.3', 'H.5']"
35,"Devereux, Emily","['K.6', 'C.2', 'C.2', 'J.1', 'C.1', 'K.6', 'I.2', 'F.3', 'C.2', 'C.2', 'H.5', 'D.3', 'D.3', 'C.0', 'J.1', 'F.4', 'D.3', 'H.5', 'K.5', 'D.2', 'H.5', 'G.3', 'I.2', 'F.3', 'F.4', 'J.1', 'H.2', 'B.4', 'F.4', 'D.3', 'I.4', 'F.1', 'K.6', 'J.4', 'I.2', 'J.1', 'D.4', 'A.0', 'B.4', 'B.4', 'H.5', 'D.3', 'J.1', 'A.0', 'I.3', 'I.4', 'D.2', 'J.1', 'I.2', 'D.2', 'K.6', 'I.4', 'D.2', 'J.1', 'H.5', 'I.2', 'I.4']"
36,"Dillon, Anthony L","['C.0', 'C.2', 'C.2', 'H.2', 'J.1', 'D.2', 'C.2', 'B.2', 'B.4', 'B.3', 'F.3', 'H.1', 'H.5', 'D.4', 'H.2', 'D.2', 'F.3', 'H.2', 'D.2', 'J.1', 'K.4', 'B.2', 'B.4', 'B.3', 'D.4', 'G.1', 'I.4', 'C.2', 'I.2', 'K.6', 'D.4', 'G.1', 'B.7', 'I.2', 'H.4', 'D.2', 'C.2', 'D.4', 'C.2', 'C.5']"
37,"Dougal, Roger A.","['I.4', 'F.4', 'K.6', 'K.6', 'I.3', 'B.4', 'D.2', 'I.2', 'H.4', 'B.1', 'B.6', 'B.2', 'B.3', 'B.4', 'B.7', 'B.5', 'F.1', 'D.2', 'D.2', 'H.5', 'D.2', 'D.2', 'H.5', 'E.3', 'D.2', 'C.1', 'C.5', 'F.4', 'H.2', 'H.4', 'C.1', 'C.1', 'B.3', 'J.2', 'B.6', 'I.4', 'I.2', 'I.4', 'I.2', 'H.2', 'K.6', 'C.2', 'D.4', 'J.7', 'K.3', 'K.3', 'D.4', 'B.3', 'B.2', 'B.4', 'B.3', 'D.2', 'H.5', 'F.2', 'H.5', 'K.8', 'H.5', 'C.1', 'C.1', 'I.2', 'C.5', 'D.2', 'H.5', 'K.8', 'H.5', 'I.2', 'D.2', 'H.5', 'I.3', 'C.3', 'J.2', 'I.6', 'K.6', 'K.8', 'H.5', 'D.2', 'H.5', 'H.3', 'H.5', 'C.2', 'I.6', 'F.3', 'B.6', 'I.5', 'C.1', 'F.2', 'K.7', 'D.2', 'H.5', 'B.2', 'B.4', 'B.3', 'B.4', 'C.1', 'K.6', 'D.2', 'I.4', 'D.2', 'D.3', 'I.5', 'C.1', 'B.7', 'C.5', 'D.2', 'H.5', 'D.4', 'J.2', 'I.2', 'K.6', 'K.6', 'I.6', 'C.1', 'K.3', 'K.3', 'C.1', 'H.2', 'I.1', 'I.5', 'H.5', 'J.7', 'H.5', 'C.5', 'B.5', 'G.3', 'J.2', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'I.2', 'C.2', 'D.2', 'G.1', 'D.3', 'J.2', 'K.8', 'H.5', 'K.6', 'F.2', 'I.4', 'K.3', 'K.3', 'K.6', 'K.8', 'H.5', 'J.5', 'D.2', 'H.3', 'H.5', 'I.5', 'I.3', 'G.3', 'I.4', 'H.2', 'I.1', 'I.5', 'B.5', 'D.3', 'B.4', 'I.4', 'B.5', 'H.5', 'A.2', 'D.4', 'K.7', 'D.4', 'J.2', 'D.4', 'B.3', 'B.5', 'H.3', 'I.2', 'I.2', 'K.6', 'J.2']"
